case	mode	threads	dt	nbstep	printevery	time_seconds	output_file
solar	seq	1	200	5000000	10000	3.47	results/solar_seq.out
solar	par	1	200	5000000	10000	11.06	results/solar_par_1.out
solar	par	4	200	5000000	10000	25.78	results/solar_par_4.out
solar	par	8	200	5000000	10000	40.83	results/solar_par_8.out
