case	mode	threads	dt	nbstep	printevery	time_seconds	output_file
random1000	seq	1	1	10000	100	70.34	results/random1000_seq.out
random1000	par	1	1	10000	100	67.85	results/random1000_par_1.out
random1000	par	4	1	10000	100	28.40	results/random1000_par_4.out
random1000	par	8	1	10000	100	26.81	results/random1000_par_8.out
